date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-11 15:29:28,ewarren,,110,418,1655,"On #VeteransDay, we honor our veterans and thank them for their service. But we have to back our platitudes with meaningful action and policies that support our military both during and after service—not just today, but every day.http://ewar.ren/Veterans",,,#VeteransDay,1193913641197809667,https://twitter.com/ewarren/status/1193913641197809667
2019-11-11 13:23:32,ewarren,,230,2228,13344,"All three of my brothers served in the military, so I know the responsibility we have to our veterans, and the unique burdens that military families carry. On #VeteransDay, I'm thinking of all our veterans and their families. I'm grateful for your service.pic.twitter.com/wup24K2cZu",,,#VeteransDay,1193881950710386688,https://twitter.com/ewarren/status/1193881950710386688
2019-11-11 02:48:50,ewarren,,457,1062,4402,"I’ve spent my career studying why so many hard-working middle-class families are going broke. The number one reason? Health care costs. Even with insurance, families are being crushed by deductibles, copays, and surprise bills. We need #MedicareForAll.https://www.nytimes.com/2019/11/08/us/hospitals-lawsuits-medical-debt.html …",,,#MedicareForAll,1193722222424338432,https://twitter.com/ewarren/status/1193722222424338432
2019-11-11 01:48:05,ewarren,,780,3437,17273,"Let’s be clear: When private equity firms acquire companies, suck out all the value they can, and walk away rich—leaving workers, their families, and their communities suffering with the consequences—it’s legalized looting. I have a plan to end it. https://www.buzzfeednews.com/amphtml/lizmarin/private-equity-is-the-enemy-of-working-people …",,,,1193706934542700546,https://twitter.com/ewarren/status/1193706934542700546
2019-11-10 22:06:01,ewarren,,422,2194,9538,"There is a long history of mistakes in capital punishment, especially when it comes to Black and Brown people. Rodney Reed's execution should be halted—and it's time to end the death penalty for good.https://www.cnn.com/2019/11/07/us/death-row-inmate-rodney-reed-execution/index.html …",,,,1193651046587011072,https://twitter.com/ewarren/status/1193651046587011072
2019-11-10 20:26:28,ewarren,,469,2131,8220,"Well-connected billionaires are given plenty of space to complain about my #TwoCentWealthTax. Let's give more space to the stories of working-class and middle-class families whose lives would be transformed by Universal Child Care and free public college.https://www.nytimes.com/2019/11/10/business/economy/warren-billionaires-wealth-tax.html …",,,#TwoCentWealthTax,1193625994017624064,https://twitter.com/ewarren/status/1193625994017624064
2019-11-10 18:02:23,ewarren,,78,78,458,"I'll be making more calls to grassroots donors soon! Chip in whatever you can now, and you could get a call from me to say thank you. We can only do this together:http://ewar.ren/chip-in",,,,1193589735131885570,https://twitter.com/ewarren/status/1193589735131885570
2019-11-10 18:00:51,ewarren,,224,319,2485,"Small-dollar donation by small-dollar donation, grassroots donors are powering our campaign. I'm grateful for everyone who chips in what they can to our campaign, and grateful that @JVN was able to give some of you a call to say thanks! Me, you, Jonathan—we're in this together.pic.twitter.com/d4GRQcPcTD",,@JVN,,1193589349092380672,https://twitter.com/ewarren/status/1193589349092380672
2019-11-10 15:27:04,ewarren,,3613,3609,32212,"My daddy couldn’t work after his heart attack. We lost the family station wagon, and we nearly lost the house. But my mother got a minimum wage job at Sears that saved our house. Today, a minimum wage job can’t support a family of three. I'm fighting so every family can succeed.pic.twitter.com/ZJUpMZ0g3S",,,,1193550647917985792,https://twitter.com/ewarren/status/1193550647917985792
2019-11-10 02:24:33,ewarren,,302,274,1823,"Thank you to everyone who came out to our Goose Creek town hall, and thank you to everyone who stayed for the photo line! South Carolina is ready for the big, structural change we’re fighting for together.pic.twitter.com/6aJL6f8yPn",,,,1193353722207838214,https://twitter.com/ewarren/status/1193353722207838214
